Word	Count
ever.	1
better.	1
four	2
Bailey	2
captain	1
hate	1
relationships	1
common.	1
sorry	1
grade,	1
otherwise,	1
today?	1
every	2
today.	2
month	1
bringing	1
Everything's	1
school	2
no."	1
Uh...	1
porch.	1
Nothing's	1
Case?	1
Go	2
relationship,	1
spoken.	1
her.	3
tired	1
me,	3
me.	8
street	1
her?	1
stressed,	1
me?	2
even	8
ugly	1
leave.	1
new	1
Leopards	1
kid,	1
told	2
machine.	1
phone?	1
never	7
met	1
protection	1
twiddle,	1
aren't	3
dry	2
kids	5
study	1
changed	1
mantis	1
Mm.	4
someone's	1
company,	1
self-stimulatory	1
Three	1
brought	3
anywhere.	1
female.	1
glance	1
Casey	2
spoke	2
would	9
right?	4
divorce.	1
world's	1
pudgy	1
call	1
right,	1
right.	8
type	1
tell	2
relax	1
Okay,	4
Okay.	10
phone	3
95	1
me	15
word	1
pursue	1
my	38
give	3
laid.	1
Bree,	1
want	12
dumb,	1
animals.	1
around.	2
end	1
turn	2
how	7
amazing	1
drummer	1
answer	1
A	5
after	2
wrong	4
types	1
All	3
appreciate	1
week,	1
cold,	2
Trust	1
school.	2
over	7
down,	1
down.	2
How's	1
disorganized.	1
What's	3
Here	2
What'd	1
then	2
them	5
we'll	1
band	1
roommate	1
they	13
printers.	2
yourself	2
parrot	1
classified	1
week?	1
each	1
Hi.	1
mean	3
fishing.	1
"Oh,	6
forgot	1
dishwasher,	1
washed	1
day.	1
Honey,	1
Honey.	1
got	10
Hold	1
available,	1
doesn't	1
preoccupations.	1
wanted	6
fair.	1
weirdo.	2
go,	1
go.	3
go!	1
days	1
go?	1
Antarctic	4
already	1
too.	1
too,	1
Going	1
another	3
Mamacita	2
likes,	1
closed...	1
their	5
girls	3
needed	1
too	4
listen	1
presses!	1
Wait,	1
Um...	3
Should	2
Paperback	1
to?	1
matter	2
girl,	1
to.	2
to,	2
feeling	2
Floor	1
navigate	1
mind	2
spectrum	2
talking	1
well.	1
seem	1
Then	1
nipples	1
do.	4
do,	2
What?	4
sound.	2
point.	1
Let's	1
coldness	1
do?	2
They	5
Ask	1
What,	1
snowflake	1
tell.	1
Relax.	1
cool.	3
It'll	2
episode	1
practicing.	1
Bailey.	1
Want	2
came	4
queen	1
implying	1
touched	1
run.	1
do	12
stop	1
them."	1
rings,	1
about,	1
autistic	1
ever	3
bad	2
softly	1
Weird.	1
them.	2
into,	1
new,	1
pads	1
decided	1
best	4
subject	1
said	9
face!	1
lots	1
away	4
there's	3
name's	1
bra.	1
we	13
boss	1
honestly,	1
Here.	1
picking	2
Yours	1
laze	1
protect	1
pressure.	2
against	1
games	1
cod	1
lot,	1
asked	1
pebble,	1
TVs	1
Dating	1
now,	1
I've	7
teacher,	1
three	2
been	7
much	3
You've	1
ladies?	1
lovely	1
life	4
offering.	1
church.	1
there...	1
okay,	1
okay.	2
air	1
copulate,	1
hates	1
okay?	2
ironically,	1
over.	1
girls?	1
Thomas	1
is	31
you...	1
it	30
girls,	1
girls.	4
in	38
smoothest	1
Tell	1
said.	1
if	13
things	5
make	8
Stop	2
"I	1
practice.	3
Did	2
worry.	1
worry,	1
Awesome.	1
Maybe	3
social	1
hang	1
"catfishing,"	1
hon.	1
jousting.	1
contact	4
thing.	3
thing,	1
um...	5
the	92
seasonal	1
burn,	4
Thank	6
just	26
perfect.	1
but,	1
unable	1
had	9
easy	3
has	13
ago.	2
rookeries,	1
late.	1
possible	1
Try	1
possibly	1
bad.	1
dreams	1
desire	1
vegan	1
Are	2
night	1
Zahid...	1
Now,	1
right	4
old	2
deal	1
people	6
dead	1
got...	1
for	37
purple	1
ice	2
uncomfortable.	1
asking	1
Let	1
month.	3
He	5
burn	1
Well...	1
doesn't.	1
First	1
eat	3
accepts	1
dinner	2
carrot,	1
Still	1
behaviors,	1
for.	1
son	3
noisy,	1
suspended?	1
support	1
stuck	1
way	1
behavior,	1
was	25
offer	1
what?	2
persistent,	1
hear	5
inside	1
mamacita.	1
up	13
die.	3
brother.	1
check	1
shit	1
something.	2
no	4
when	12
Anyways,	1
smell	1
picture	1
assume	1
Look.	1
time	10
push	1
serious	2
mountains,	1
switched	1
dance	2
start...	1
...except	1
skin	1
ooh,	2
everything	3
Burn	1
dude...	1
questions.	1
playing.	1
unfamiliar	1
"Insults	1
cook	1
graduating,	1
exact	1
married,	1
Just	7
did	4
dig	1
brother	1
leave	1
clarity.	1
freak-out	1
guy	2
son's	1
Why?	1
swimming.	1
talked	1
appetizers.	1
loud,	1
"Baby,	1
group,	1
else.	1
repetitive	1
sign	1
jumpy.	1
patient	1
else?	1
substitute	1
pretty?	1
colleagues.	1
goes	1
Seriously,	1
pretty.	1
See,	1
Me	1
drink.	1
Mi	2
tickets.	1
alone	1
say.	1
say,	5
My	7
change	1
box	1
Mine's	1
male	1
here?	1
Elsa.	1
veterinarian	1
here.	2
here,	1
weird	2
inkjet?	1
love	8
It's	17
When	4
session,	1
Donate	1
It'd	1
breed.	1
visit	1
intense	2
going	5
wondering	2
Those	1
rainfall	1
soft.	1
These	1
ooh	2
cats.	2
chocolate	2
wondering.	1
and,	1
cat	1
big.	1
can	11
making	2
wrong?	1
Out	1
heart	1
figure	1
frogs	1
didn't	6
sample	1
discuss.	2
Who	1
write	1
fourth	1
Why	4
listen,	1
Sweetie,	1
may	1
dick."	1
date	4
such	2
