Word	Count
wagon.	1
better,	1
better.	2
Does	1
hanging	2
Bailey	2
hate	2
up.	4
whose	1
kingdom,	1
Watch	1
up?	1
under	1
sorry	1
risk	1
advice.	1
Apologize?	1
sucks.	1
Henry	1
today,	1
bringing	1
Everything's	1
we'll	2
Uh,	1
problems.	1
expired,	1
expired.	1
Go	3
offense.	1
charter	1
her.	4
her,	2
me,	1
me.	8
feathers	1
nail	1
stressed,	1
others.	1
chem	1
even	5
hide	1
Put	1
kid.	2
told	2
kicked	3
never	7
here	6
met	4
aren't	1
kids	1
worse.	1
light.	1
credit	4
Mm.	1
golden	1
kitchenette.	1
Gardner?	1
brought	1
Marjorie,	1
female!	1
total	3
Gardner.	2
Gardner,	1
would	5
right?	5
girlfriends.	1
music	1
right,	3
right.	2
retriever	1
type	1
tell	5
Okay,	3
Okay.	7
specific.	1
glass	1
varsity	1
excellent	1
Okay?	2
hold	1
must've	1
must	1
me	17
arm?	1
locked	1
wore	1
"Passin'	1
my	27
non-pertinent,	1
give	4
in	29
therapy?	1
want	6
laid?	1
around.	1
around,	1
end	1
travel	1
far	2
A	7
funny	1
mess	1
after	4
wrong	1
clear.	1
All	3
effective	1
still,	1
cold.	1
fan	1
Trust	1
wing	1
school.	1
deck	1
powwow.	1
over	1
school?	3
down.	1
How's	3
His	1
Sharice.	1
What's	8
haphazard	1
Here	1
rock,	1
Evan	2
carve	1
easier	1
then	6
them	2
school	2
break	1
band	3
bang	2
effects	1
they	12
one	6
week,	2
week.	1
each	2
went	4
side	1
mean	2
sled	1
"thing."	1
used	1
brings	1
self.	1
Honey?	1
strangers	1
is.	5
is,	3
got	7
Super	1
you're	14
free	1
people's	1
wanted	1
go,	1
ate	1
go!	2
days	1
Human	1
Superstar's	1
onto	1
too.	2
another	1
Ugh!	1
notes,	1
engagement	1
girls	5
sure?	1
too	3
cool.	2
dogs	1
sure.	1
took	4
Um...	5
in-ground	1
flightless	2
girl?	2
to?	1
agree.	1
my--	1
matter	3
to,	1
cool?	1
upset	1
well,	1
well.	1
shy.	1
seen	1
seem	1
me?	4
Then	4
guys.	3
do.	3
Miles!	1
boyfriend.	3
What?	5
Miles.	2
Emperor,	3
do?	2
They	5
boyfriend?	4
panties	1
thrilled	1
Adelie,	2
Bailey?	2
door.	1
subject,	1
points	1
Want	1
pointy	1
mating	2
came	1
subtle	1
Listen,	1
Free	1
wearing	1
do	12
stop	1
wedding	1
about,	1
bar	3
bad	1
bus.	1
them.	4
steal	5
shark.	1
laughing?	1
fair	1
dies.	1
decided	1
best	1
said	2
there'd	1
face,	1
away	2
there's	3
we	10
school,	2
ring.	1
brag	1
money.	1
Roosters	1
trust	1
now,	1
now.	2
I've	3
three	2
been	6
bothers	1
now?	1
You've	1
interest	2
"We"?	1
life	3
skank.	1
exception	1
okay.	3
okay?	4
voice	1
bandanna.	1
expire.	1
is	29
you...	2
it	30
girls,	2
girls.	1
Courtney	2
Tell	1
if	8
things	5
make	11
Stop	1
dad?	1
several	1
couple	2
can.	1
Maybe	2
hand	2
Neosporin.	2
thing:	1
kept	1
shitty	1
hon.	1
cannibalize	1
which,	1
um...	5
the	76
musical	2
left	3
