Word	Count
better.	1
silent,	1
four	1
Bailey	1
screaming.	1
party,	1
up.	1
looking	2
up,	1
autism-friendly	1
I'm...	1
Casey	2
up?	2
voted	1
under	1
sex."	1
worth	1
fractured.	1
sucks.	1
every	2
today.	2
today,	1
advice?	1
school	5
Case,	1
Uh,	3
vote?	2
roadblock	1
Casey,	2
stink.	1
relationship,	1
force	1
her.	7
tired	1
me,	5
Ugh.	1
me.	6
that's...	2
me?	2
even	8
otter.	1
kid?	1
ever	1
kid.	1
told	1
friendship,	1
Pole.	1
never	9
here	5
met	2
kids	2
Glaciers?	1
credit	1
eyebrows	1
Gardner?	2
Miles.	1
Gardner.	1
Gardner,	1
Prep.	2
lighting.	1
would	7
right?	5
Prep?	1
music	3
right,	5
right.	3
until	1
Okay!	1
Okay,	12
Okay.	9
"ribbed	1
hurt	1
phone	1
Whew!	1
aligned	1
annoying.	1
off.	2
me	27
room	1
girls,	1
work	3
Boys,	1
crackers	1
waiting,	1
my	30
give	1
woman	1
want	17
dumb.	2
end	1
turn	1
sitting	1
how	3
answer	1
Falcon	1
Formal	3
A	6
after	2
jumping	1
lap	1
All	9
third	1
fault.	1
ill-prepared.	1
Another	1
Trust	1
order	2
school.	2
down?	1
over	3
bubbles	1
ashamed.	2
down.	1
ears.	1
ticket	1
before	1
40%	2
Sharice.	1
Sharice,	2
personal	2
Sharice!	1
Here	1
better	1
Evan	2
then	2
them	3
they	9
awfully	1
mothers	1
panini	1
went	1
Check	1
Hi.	2
luck	1
Destiny	1
appointment,	1
taught	2
Goodbye.	1
over"?	1
day.	3
got	7
assured	1
you're	10
Ooh-ooh-ooh	2
wanted	3
silent	2
go,	1
go.	4
I-I	2
go!	1
'Cause,	1
loud	1
already	2
too.	3
Please	1
her,	1
girls	5
too	2
pleasure."	1
sure,	1
easy.	1
listen	3
gym	1
Sunil	1
took	1
Wait,	1
Um...	2
dog.	2
to?	1
Sex	1
See	1
to,	1
to!	1
pierced;	1
ran	1
mind	1
spectrum	1
talking	4
seen	4
seem	1
Then	2
boyfriend,	1
hairdresser.	1
boyfriend.	1
What?	7
neighborhood?	1
sound.	1
point,	1
Let's	2
do?	1
They	7
What,	2
blue	1
though	1
purchasing.	1
mint-flavored	1
Paige	3
the	97
ride.	1
swim,	1
little,	1
subject.	1
Want	1
ankle's	1
lingerie.	1
situations	1
folded	1
run?	1
Dance.	1
bitchy.	1
touched	1
run.	1
wearing	1
shirts?	1
Turns	1
about?	2
shirts.	1
shirts,	1
selfish.	1
'bout.	1
solution?	1
sky.	1
them?	1
kid,	2
bad	2
them.	4
Earplugs	1
clue,	1
resist	1
decided	1
best	3
Biology	1
said	4
matters.	1
there's	1
we	23
honestly,	1
cousin	2
connected?	1
hand-washed	1
Dance	1
autistic.	1
against	2
Nah.	1
lot.	1
Doug	1
asked	3
excited!	1
now.	1
I've	11
ayes?	1
three	1
been	6
much	8
You've	1
threw	1
Formal.	1
Sharice	3
drugs	1
TV,	1
Wildlife?	1
okay.	3
air	1
near	1
okay?	6
anchor	1
over.	2
seven	1
is	34
over"	1
over?	1
shame	1
girls.	1
in	28
girls'	1
if	12
dad.	1
things	3
make	3
big	2
Maybe	1
Cinderella?	1
hang	2
kid	2
plate.	1
plate,	1
hon.	1
thing.	1
verbal.	1
um...	1
cool.	1
bikes?	1
left	2
Thank	2
just	17
thanks	1
electronically	1
out-of-town	1
had	4
foot?	1
Selfish.	1
has	1
take	11
ago,	1
ago.	1
appreciated	1
grade.	1
Try	5
Finally.	1
dreams	1
performing	1
Are	2
night	1
Paige's	2
Clayton.	3
deal	2
people	3
nothing's	1
Clayton?	1
for	27
everything	1
throat.	1
Let	1
embarrassing.	1
School	1
Ew!	1
club.	1
doesn't.	1
losing	1
Think	1
First	1
months	2
curry	1
froze	1
for,	1
son	1
accommodate	1
right	2
prepared.	1
way	4
call	2
quick.	1
happy	2
of...	1
what?	3
so,	1
so.	1
wireless	1
pregnant?	1
tell	3
flatten	1
inclusive	1
Some	2
saying?	1
check	1
shit	1
looked	1
dying	1
no	2
when	3
bed.	2
interested	1
life	2
Sweetie...	1
welcome	1
let's	1
journey	1
scratchy	1
senior	1
died	1
molehill.	1
noise-canceling	1
assume	1
together	3
Second	1
time	1
push	1
serious	1
managed	1
dance	6
"Each	1
certainly	1
anticipation	1
questions?	1
Internet?	1
chances	1
asking	3
questions.	1
worthwhile.	1
Night,	1
Just	7
did	7
well...	1
leave	2
solved	1
team	3
guy	2
Why?	1
says	1
porn	1
group.	1
discover	1
cost	1
hair,	1
else?	1
Seriously.	1
goes	1
Seriously,	2
shared	1
afterwards,	1
We	4
groups	1
alone	1
My	8
change	1
wait	1
condoms	5
healthy	1
share,	1
here.	6
beautiful.	1
teenage	1
love	5
case,	1
It's	19
When	4
betraying	1
handled	1
angry	1
visit	1
live	1
wondering	1
Those	1
These	1
gentlemen,	1
super-cool	1
car	2
originally	1
pretend	1
wrong.	1
Erase	1
can	10
making	2
blabbed	1
figure	1
didn't	9
heard	1
this...	1
stole	1
Who	2
write	1
till	2
Why	6
product	1
moms.	1
birthday	1
mad	1
date	2
such	1
guys	1
grow	1
different.	1
maybe	5
so	15
ER.	1
talk	2
no,	3
cute	1
no.	3
isolation,	1
course	1
mom.	1
early.	1
still	5
thank	1
he's	1
did.	2
months.	1
he'd	2
She	5
half	1
not	24
now	2
meets.	1
helped.	2
soon.	1
soon,	2
rain.	1
Right?	1
year	1
yes.	2
yes?	1
Sasaki,	1
'Sup,	1
unfair,	1
boobs	1
So...	1
care	1
100%	1
headphones	2
press,	1
thing	4
place	3
think	11
first	1
Even	1
Techtropolis,	1
How's	1
anymore,	1
spoken	1
but,	1
carry	1
sounds	2
open	1
little	4
card.	1
why,	1
anyone	1
favor.	1
white	2
professional.	1
on.	6
on,	3
that	43
retainer.	1
on?	2
than	1
boyfriend	1
15	1
was	19
were	6
1910,	1
and	44
He's	5
turned	1
sad	1
say	6
Call	1
Do	3
joking.	1
late,	1
sure	3
pain	1
track	2
buffet	1
nice.	4
something?	1
forever	1
Mom?	1
not?	1
sale	1
fault?	1
idea.	2
Mom.	1
Mom,	1
not,	1
Mom!	1
not.	3
alone,	1
walking	1
Barry	1
Destiny.	1
Destiny,	1
boring.	1
stormy	1
behind	1
Destiny?	1
only	2
going	8
watching	1
privates.	1
get	20
freezing	2
wrinkles.	1
drawing?	1
Evan's,	1
friends.	1
glowing.	1
where	4
crazy.	1
ignored	1
"come	2
hasn't	2
parking	1
come.	3
That	4
outside	1
whatever.	2
between	1
it	28
man.	1
adjourned.	1
anyway.	3
Plus,	1
come	8
doing?	1
many	3
way.	1
way,	1
What's	4
can't	7
breakup,	1
want:	1
couldn't	3
skeptical.	1
want.	1
cares	1
But	8
wants	7
shopping	2
case	2
myself	2
e-mails	1
might	1
familiarizing	1
nays?	1
middle	3
someone	2
punched	1
return	2
Prep	1
Good.	1
little.	1
sides.	1
thief?	1
Ow.	1
I?	1
Sam,	5
Ow!	1
Excuse	1
speech	1
I,	1
coworkers	1
disorienting,	1
They're	5
I	149
Dream	1
event,	2
Is	3
It	5
without	7
comes	1
In	2
very	2
buy?	1
If	2
You're	3
being	5
bases.	2
actually,	2
rule.	1
bases?	2
death	2
thinking	2
Ramada	1
seems	1
except	1
either.	1
pile	1
please...	1
swim	1
Spoiler	1
sorry?	2
around	2
read	1
gonna	13
sorry.	3
brother's...	1
sorry,	2
world	1
drugs.	1
lady	2
Bye.	3
career.	1
benefit	1
either	1
bonus,	1
Sammy.	1
Holiday	1
terrified	1
on	14
Me,	1
snacks.	1
favorite	2
out?	1
free,	1
mean	6
out,	3
or	2
out.	2
Yes.	4
ladies	1
Yes,	4
No	3
apologize	1
your	18
her	6
assumed	1
there	4
stars	1
you.	16
you,	6
$80.	1
you?	2
happier	1
with	22
buying	1
they're	1
fraud	1
are.	1
miss?	1
dirty	1
are?	1
Amundsen	1
How	5
gone	1
certain	1
am	3
deep	1
an	9
imagination	1
as	4
at	17
girlfriend	3
nerd	1
deserve	1
call?	1
you	83
puppy	1
At	1
sale.	1
important	1
revolve	1
finals	1
pool	1
Duh.	1
starting	1
virginity.	1
silent.	1
all	15
Winter	4
lack	1
silent?	1
Take	1
disgusting!	1
really,	2
to	134
Pittsburgh.	1
talk,	1
far	1
fat	1
aware	1
I'd	1
I'm	51
Don't	7
large	1
past	1
functioning	1
what	14
him.	2
Totally	2
full	2
Jesse.	1
tags	1
unhear!	2
title.	1
ahead	1
Absolutely	1
maybe.	2
maybe,	1
Yay!	1
social	1
would've	2
apologize.	1
limping?	1
followed	1
