Word	Count
with.	1
all	10
Practice	1
happy,	1
Kayla's	1
En	1
Mon	1
Everybody's	1
party?	3
everybody	1
Interesting?	1
manager	1
Station	1
Found	1
go	4
halfsies?	1
realized	1
party,	1
recharge	1
up.	3
day.	4
up,	1
north!	1
good!	2
deal.	2
kits.	1
Sam's	2
Casey	2
to	79
really?	1
those	3
sorry	1
must	2
friends.	1
more,	1
sent	2
shouldn't	3
town	1
mom.	1
Shit.	1
talk,	1
very	7
tomorrow?	1
puffy	1
Still,	1
Baby	1
I'd	1
worst	1
hugging	1
messy	1
instinct.	1
foxes?	1
today.	2
I'm	32
Where	1
Jersey	1
cool	2
No,	14
entire	1
No.	6
dating	2
went	1
Just	1
Don't	1
did	6
Luisa.	1
fragile	1
accidentally	1
leave	1
run...	1
Does	1
six	1
car	1
and...	1
guy	1
refer	1
"aw."	1
Why?	1
talked	2
neighborhood	1
her.	2
ten	1
her,	1
me,	2
me.	10
okay	1
Should	1
talks	2
second	1
her?	1
weird.	5
necklace.	1
hair.	1
buddy!	1
it...	1
avoiding	1
even	8
him?	1
what	12
curse	1
Seriously?	1
darkness	1
leave?	1
See?	1
revolves	1
dick.	1
man's	1
him.	4
Now	1
him,	1
Casey.	3
Qui	1
new	4
learned	1
marching	1
ever	1
except	1
told	2
hairy	1
Dad	1
here.	7
full	1
sister,	1
den	1
Tuesday.	1
litters	1
never	6
Shut	1
Well...	1
youngest	1
fun	1
team?	1
focused	2
nanny	1
compass.	1
address	1
disappeared	1
My	3
perspective,	1
Latifah,	1
dry	1
boy	3
great	2
Elsa,	2
Elsa.	1
worse.	1
shift	1
study	1
Queen	1
step	1
somebody.	1
Sweatshirt.	1
credit	1
Mm.	1
products	1
weren't	3
90%	1
real	2
weird	1
because...	1
options	1
apologize.	1
Hardaway!	1
18-year-old	1
named	2
monsieur...	1
love	3
myself.	1
family	1
extra	1
split	1
know?	1
separate.	1
When	4
replace	1
brought	1
annoy	1
Gardner!	1
Wh--	1
colors.	1
duck	1
know.	4
Paige?	1
know,	12
total	1
story.	1
you're,	1
Nice	2
Prep.	3
snooping,	1
cheating	1
from	7
Edison.	1
working	1
prove	1
temperature.	1
right?	3
two	2
next	1
dum-dum	2
few	1
live	2
cashews	1
call	7
Researchers	1
gosh.	1
Spin.	1
God!	1
Diego.	1
tell	3
today	1
more	5
handful,	1
dangle-downs,	1
Fine.	3
rich	1
on	21
started	1
Okay,	5
Okay.	10
stop?	1
employees,	1
admissions	2
phone	2
carnitas.	1
making	3
ain't	1
stick	1
broke	1
Time	1
hat!	1
name?	1
Okay?	2
hold	1
glad	1
off.	1
me	15
couples	2
I'm,	1
word	1
anything	2
shame	1
this	15
us.	1
books.	1
work	5
there,	1
I-I	1
can	15
cam	1
Thanks.	1
growing	1
meet	3
fais-tu	1
nothing.	2
my	45
Your	4
complain	1
beautiful	3
guy.	1
figure	1
give	5
lock	1
sense	1
didn't	4
proposed,	1
heard	1
Mr.	1
a...	1
thrilled	1
something	5
want	13
dumb,	1
garçon	1
sharp	1
I'm--	1
stole	1
girls'	1
Hmm.	1
around.	1
eat?	1
needs	1
answer	1
comfortable	2
turn	1
Exciting.	1
sculpture?	2
there.	4
Mm-hmm.	6
carries	1
brain	1
write	1
how	7
Français.	1
autistic?	1
animal	2
that...	2
instead	1
cashews.	1
Why	4
A	3
awesome.	2
tour,	1
laundry	1
sangria?	1
attend	1
18.	1
mess	1
locked	3
pencils...	1
after	2
spot	1
Can	1
Antarctica,	1
chaos.	1
birthday	3
salon,	1
coming	2
snack.	1
hear.	1
guys	3
especially,	1
a	82
All	1
short	1
gone.	1
remember	2
maybe	7
psychology,	1
sit	1
fault,	1
cold.	1
second?	1
cold,	2
so	21
dinner.	1
Right.	1
dinner,	1
Slick	6
every	4
travel	1
talk	3
that's	10
no,	1
yeah,	2
no.	1
Who	1
towels	1
Card.	2
don't	32
developed	1
over	8
Breaking	1
sweet.	1
We--	1
ended	1
wouldn't,	1
won't	1
looks	1
it?	1
down.	1
still	3
its	2
hide.	1
before	2
25	2
20	1
thank	2
then,	1
he's	7
personal	1
bringing	1
What's	4
did.	1
months.	2
actually	3
better	3
too.	3
boyfriends,	1
desperate,	1
weeks	1
Miles?	1
might	2
Him	1
happened	2
it.	14
then	3
them	2
someone	4
Nick?	1
Sam,	11
food	1
Sam!	1
married.	1
experiment.	1
kids?	1
break	1
lunch	3
year.	1
touching	3
Sam?	4
She	8
they	12
supposed	3
not	23
Tower	1
now	3
realize	1
chick,	1
fine,	1
research,	1
fine.	3
name	1
Sam	6
Everything	2
yesterday.	1
always	5
yesterday,	1
drop	1
bio-sustainable	1
talks,	1
help.	1
Say	1
Portland,	1
cute	1
man	6
friend	2
Charlie,	1
Sounds	1
second-most	1
Hi,	2
meal	1
isn't	2
goodness,	1
Mademoiselle	1
reactions	1
blizzard!	1
Claire's.	2
doing	4
parts.	1
interviews	1
I--	1
lab.	1
foxes	2
No!	1
do."	1
expect	1
Which	2
sexually	1
Right,	1
our	2
girl	1
thing	1
Uh-huh.	1
special	2
out	7
day?	1
nickel-plated,	1
Door	1
happen?	1
something,	1
space	2
Very	2
Charlotte.	1
since	1
don't.	1
research	1
time,	1
message.	1
day,	4
stuff	1
start.	1
is.	2
is,	2
fit	2
got	7
'em.	1
nothing,	1
backpack.	1
closet,	1
interesting.	1
doesn't	2
This	7
genius.	1
sexuality.	1
Sometimes	1
Maybe	3
book.	1
advice?	1
completely	1
[Glass	1
que	1
RSVPs	1
imagine	1
put	2
wanted	2
beginning	1
