Word	Count
better.	2
Edison	1
Sugar	3
four	1
Does	1
smokes.	1
screaming,	1
party.	1
consider	1
up.	3
up,	1
I'm...	1
disability	1
Casey	2
up?	1
teaching	1
sorry	2
here...	1
every	1
fingers.	1
today.	2
school	5
Case!	1
pros-and-cons	1
cons.	3
enjoy	1
her.	2
her,	1
me,	3
me.	8
her?	1
me?	4
it...	2
even	9
nature,	1
cooking	1
while	1
leave.	1
Put	1
ever	2
kid.	1
told	1
never	6
here	3
met	2
aren't	1
kids	2
daughter	1
Consume	1
worse.	1
study	3
changed	1
Sam...	1
sterile,	1
Mm.	1
parents.	1
So...	2
golden	1
Gardner.	4
Gardner,	3
Prep.	2
Prep,	1
cheating	1
would	13
right?	7
negative	1
call	1
right.	1
tell	2
relay	1
Okay,	3
Okay.	14
hurt	1
annoying.	1
off.	2
me	22
arm?	1
square.	1
work	1
Actually,	1
my	33
give	1
floor	1
want	13
happening?	1
talk,	1
was...	1
how	7
hot	1
1754	1
pizza	1
A	2
both.	1
...you	1
wrong	1
food?	1
All	2
Ali	1
fault.	1
blocks,	1
fault,	1
cold.	1
school.	2
office	1
Stop	1
Set.	1
school?	1
down.	1
disease.	1
ticket	1
before	2
Eggs.	1
then.	2
then,	1
What's	1
Gardner's	1
writing	1
better	4
400	1
then	5
them	5
we'll	2
history.	1
break	1
they	9
interrupt	1
one	9
one-to-one	1
together.	2
week.	1
skills	1
roast	1
each	2
went	2
Hi,	3
Check	1
Hi.	3
mean	2
series	1
I--	2
39.	1
aide	1
celebrating	1
we'd	1
forgot	1
at,	1
day.	1
is.	1
is,	1
got	8
Hold	1
aid.	1
you're	7
wanted	5
weirdo.	1
War?	1
go.	3
go!	2
too.	6
too,	1
Please	1
goddamn,	1
bacon-wrapped	1
awfully	1
"Thick	1
top	1
à	2
girls	3
Uncle	1
too	4
sure.	1
No."	1
Um...	4
showed	1
Only	1
Phife	1
girl.	1
See	1
girl,	2
silly	2
to,	1
entail	1
mind	1
yourselves?	1
anybody	1
talking	2
well.	1
seem	1
Then	1
guys.	1
do.	4
Miles!	1
What?	4
point.	1
Let's	3
They	3
Miles?	1
girl's	2
though	1
fast.	4
fast,	1
see.	1
fast!	1
Paige	2
peers	1
Zahid's	1
means...	1
knows.	2
camp	1
flow	1
treaty	1
strong.	1
saying	1
queen	1
graded	1
Listen,	1
Big	1
explain	1
tight,	1
wearing	3
do	16
conduct	1
stop	2
about.	1
runs	1
autistic	1
peen.	1
