Word	Count
eye.	1
Who's	1
all	11
forget	1
Many	1
skip	1
better.	2
son,	1
felt	1
Does	2
texts.	1
store...	1
Jablonski?	1
go	11
good?	1
hate	2
Okay?	3
Dad	1
Wait...	1
sarcastic.	1
getting...	1
appendicitis,	1
white	1
deal.	1
send	1
up!	1
Casey	2
to	67
must	1
fog	1
spurt,	1
dressing	2
Not	3
G.	1
sorry	2
pride	1
kissed.	1
sound	1
earlier.	1
Shit.	1
buddy.	1
who...	1
sweetie,	1
Mrs.	1
I'd	1
every	4
won't	1
Evan,	1
awful	1
today.	2
I'm	37
beers,	1
deep	1
No,	11
dim	1
school	3
Evan.	1
banished	1
jacket	1
Just	2
did	1
Uh,	1
Huh.	1
list	1
No!	1
handsome	1
leave	2
Talking	1
chicas,	1
Go	1
biological	1
guy	2
Panda	1
clothes	3
Chapter	1
says	7
her.	4
lying?	1
me,	4
other.	1
me.	9
okay	1
None	1
Long	1
sweetie.	1
second	1
weird.	5
picked	1
sad	1
Dad.	2
me?	2
else?	1
instead.	1
demonstrating!	1
jacket,	2
Look	1
even	6
will	2
that.	8
Trust	2
organisms	1
co-ed	1
while	1
sweaty	1
him.	6
lights	1
that?	3
Hi!	1
goes	1
Imagine	1
telling	1
new	1
"Bee	1
one?	1
ever	1
let's	1
told	6
body	1
fathers.	1
tickets?	1
shirt.	4
Zahid.	1
learn	1
here	1
eight...	1
water	1
stopping	1
let	1
Casey!	1
groups	1
say,	2
My	5
okay?	3
wait	1
hell	1
great	2
Listen...	1
worse.	1
Miss	1
experience	1
credit	1
yourself.	1
Mm.	1
born.	1
cinnamon	1
pick	4
normally,	1
weird	1
makes	7
Uh...	1
massage	1
point	1
love	7
myself.	1
mothers.	1
drive?	1
says.	1
It's	11
explained	1
When	4
private	1
brought	1
ask	1
someday,	1
nervous,	1
jackets	2
know!	1
know.	7
support	1
know,	8
should	3
Gardner.	1
hoping	1
from	7
spoke	1
would	5
you."	1
m.	1
dude	1
arms	1
next	1
few	1
live	2
music	1
thing."	1
God,	3
Coming	1
right,	2
right.	2
God!	1
type	1
tell	4
more	3
breathe	1
fight-or-flight,	1
son	1
Fine.	1
Eastern.	1
Kennedy	2
These	1
Okay,	5
Okay.	11
sir.	1
Madison	1
Bee	1
phone	2
So	3
stick	1
smile	1
91	1
do?	1
jacket?	1
Nice.	1
glad	1
off.	4
me	13
and,	1
kiss,	1
Now	1
word	1
wore	1
cute,	1
this	13
us.	5
work	3
wrong.	1
mean...	1
offended	1
mall	2
can	8
starts	1
us?	1
meet	2
diagnosed	1
my	30
could	6
history	1
beautiful	1
easy,	1
calling.	1
give	1
"Practice	1
far.	1
didn't	6
pieces	1
that."	1
Mr.	1
something	5
want	13
sense	1
offense	1
attract	1
rid	2
groceries?	1
drawers,	1
stole	3
Like,	3
Who	1
Mm-hmm.	2
off	1
how	4
hot	1
Good.	1
future.	1
answer	1
place	1
Why	4
stock	1
idea,	1
somebody.	1
funny.	1
plans	1
specifically,	1
12,	1
insecure	1
after	2
needs	2
bugs.	1
coming	2
date	2
such	1
B-e-e.	1
Nothing.	1
guys	4
"be"	1
distraction.	1
man	1
a	62
All	4
short	1
remember	2
read	2
maybe	1
hug.	1
appreciate	1
fault,	1
watches.	1
so	10
ultimate	1
tall	1
uncles.	1
pulled	1
order	1
talk	2
that's	8
no,	6
yeah,	1
What	6
comfort	1
gangly.	1
don't	16
consideration.	1
of.	1
over	3
fall	1
sweet.	1
grandfather.	1
So,	2
ended	1
all...	2
school?	1
practice.	1
early.	1
drives?	1
still	1
translucent.	1
problem.	1
How's	1
later,	1
His	1
outer	1
thank	2
2004.	1
he's	6
somewhere	2
fix	1
did.	1
course.	1
,	1
months.	2
actually	1
Thanks.	1
too.	1
each.	1
Evan	2
choose	1
routine.	1
did?	1
Once	1
Hmm.	1
easier	1
haven't	1
Wait	1
it.	11
then	3
it,	6
good	9
tuba?	1
Sam.	6
Rogers	1
Sam,	2
Dad!	1
practice	4
No.	6
scowling!	1
it?	1
happened?	1
Sam?	1
Can	5
they	1
not	14
regionals?	1
great.	4
fine,	1
gets	2
name	3
Everything	1
always	2
all,	1
by.	1
leather	2
by,	1
fountain.	1
Thanks	2
each	1
found	1
went	3
higher	1
Hi,	1
isn't	1
mean	3
have,	1
weren't	1
car?	1
doing	3
2004?	2
hard	2
him	5
brother	1
wrap	1
do."	1
car.	3
Which	1
forgot	1
our	4
girl	1
idiot.	1
Uh-huh.	1
house?	1
special	2
out	12
yes.	1
herself	1
Julia.	1
Julia,	2
two-hour	1
don't.	1
your	26
day.	3
can.	1
acting	3
stupid	1
fountain	1
is.	4
Maybe	2
Dolores.	1
got	10
Hold	1
Cool	2
misspelled,	1
go-to,	1
shopping.	1
hot-enough	1
you're	6
This	6
Sometimes	1
little	4
quite	1
reason	1
left	4
So...	3
headphones?	1
put	2
wanted	1
identity.	1
go,	2
things.	1
things,	1
flare	1
100%	2
Parole?	1
terrible	1
honest	1
feelings,	1
thing	4
go?	2
speedy	1
mom.	1
color...	1
Antarctic	1
front.	2
loud	1
think	11
first	3
Even	1
distracted	2
anymore.	3
feel	5
There	1
one	5
embarrassed	1
clear	1
done	2
suspended	1
called.	1
sounds	1
drove	1
whale	2
shoulders.	1
remember.	1
"Remove	1
guess	2
card.	1
family.	1
just...	3
girls	2
least	1
sure?	1
their	4
basically,	1
wonderful	1
too	6
points.	1
M,	1
family?	1
percentage	1
messing	1
speaking	1
low	1
first,	2
lot	2
mostly	1
that	39
exactly	1
much.	1
"Go	1
learned.	1
western	1
9%?	1
was.	1
Um...	4
Wait.	1
believe	2
wish.	1
than	3
here's	2
boyfriend	1
lunatic.	1
later.	1
to?	1
Yes.	4
photogenic	1
packed	1
Terrific.	1
shower	1
like...	1
girl,	1
to.	1
supposed	1
light	1
sweet,	1
pretends	1
sucked.	1
shirts	1
and	38
kidding	1
nicer	1
He's	3
dad's	1
coming?	1
spectrum	1
alley	1
anybody	1
talking	1
say	5
buy	1
happened.	1
have	7
need	9
seen	5
seem	2
bride's	1
any	2
Pao	1
screw	2
afraid	1
do.	3
first.	1
boyfriend.	3
patterns	1
What?	6
molts.	1
blow.	1
point,	1
"No,	1
point.	1
Let's	3
also	4
without	1
take	4
which	8
boyfriend?	1
sarcastic?	1
bad,	1
Party	1
that,	2
to-do	1
sure	2
unless	1
Have	1
track	2
terrible,	1
knew	1
music,	1
what	12
mate.	1
where's	1
most	1
Yeah,	6
come.	1
eight	3
clothes.	5
fast,	1
nice,	1
heterotrophs...	1
The	3
Really	1
why	5
ride.	1
Zahid's	1
Whoever	1
foot	1
not?	1
camp	1
Humans	1
drive	2
suspended?	1
something.	1
Wow.	2
you'll	1
Wow,	1
tech	2
Mom.	1
Mom,	4
not,	1
not.	2
its	2
face.	1
lying	2
was,	1
shop	1
walking	1
homework.	1
drank	1
time...	1
text	1
butt	2
one,	1
no.	5
one.	2
while,	1
Clean.	1
colors	1
slapped	1
mean,	9
large	1
mean.	1
find	2
busy.	2
school.	1
jostling	1
crush	1
We	2
lighting,	1
loser.	1
outside	1
run?	1
sugar	1
only	1
going	3
Traffic	1
Mom	3
fuel	1
Now,	1
mine."	1
should've	2
run.	1
do	18
his	4
colorful	1
get	20
beat	1
Turns	1
banned	1
leave.	1
stop	1
kind	2
She	5
asshole.	1
feels	2
Kung	1
wedding	1
about.	1
sunglasses?	1
machines.	1
harsh	2
Because	3
course	1
slang?	1
next.	1
anything.	3
base.	1
worried	2
wasn't	6
Zippers,	1
cousin.	1
she	6
plopped	1
expect.	1
amazing.	1
grab	1
anything?	1
shark.	1
We're	4
For	1
me...	1
national	1
mom,	1
around	1
up	4
see	4
As	1
are	7
parking	1
hurt?	1
butt!	2
best	1
find.	1
said	7
That	3
because,	1
away	2
currently	1
middle.	1
date?	2
record?	1
Chuck.	1
Zahid,	1
come?	1
lighting.	1
stupid.	2
between	1
it	26
probably	3
shirt,	1
man.	1
we	16
never	4
wears	1
missing	1
and...	4
were	1
abandons	1
honestly,	2
think...	1
wear	3
could've	1
picking	1
doing?	2
Sometimes,	1
both	1
Sometimes.	1
feeling	1
last	4
joke	1
wouldn't	2
jelly	1
"fog	1
Bring	1
Aw,	1
picture.	1
way.	1
'Cause	1
way,	1
aggro...	1
phone.	1
Unfortunately,	1
whole	3
What's	2
can't	5
Mama.	1
Preferably	1
winter.	1
Certainly	1
shiny.	1
together?	1
Would	1
whales	1
had	3
Girls	1
clap,	1
walk	3
Really?	3
studying?	1
couldn't	2
tuba.	1
excited?	1
Was	1
want.	1
there,	1
there.	3
knives.	1
puts	1
I've	3
own,	1
it's	10
home?	1
But	7
nana.	1
gambling	1
now?	1
See,	1
Wai	1
"tuba"?	1
threw	1
diets,	1
shopping	2
Of	2
fire	1
moved	1
like,	2
skip.	1
protect	1
doesn't	1
environment,	1
elsewhere."	1
understand	2
sizes.	1
hideous.	1
She's	3
worked	1
is...	1
dating.	1
That's	12
And	17
myself	1
look	4
unlike	1
well,	2
room.	1
means	1
okay.	1
single	1
who,	1
"Casey,	1
close.	1
Huh?	1
many	2
fun	1
changing.	1
care.	1
ready.	1
p.	1
invited	1
photosynthesis.	1
Grandpa's	1
dad	4
we'll	2
Slow	1
huh?	2
working,	1
is	28
Please?	1
person.	2
them	1
Just,	1
girls,	1
girls.	1
Pretty	1
in	22
ready	2
You	31
Casey's	2
Prep	1
worry	1
if	7
dad,	2
different	1
dad.	1
shirt	3
sensitive	1
things	5
make	3
Stop	1
how?	1
same	2
chicken.	1
only...	1
coach.	1
honeybee	1
daughters	1
here.	6
"Julia	1
finish	1
Do	2
I	155
mall.	2
here,	1
hang	2
Zahid	2
routines.	1
ma'am.	1
expense,	1
average	1
running	1
bro.	2
moving	1
magnets.	1
Yes,	4
build	1
Ma'am.	1
"?	1
Because...	1
six	2
up.	2
kid	1
year,	2
daughter.	1
overwhelming,	1
thing?	1
432	1
Is	5
affair?	1
well	1
It	8
Julia	9
Autism	1
thought	1
person	2
client	1
thing.	1
thing,	1
In	3
very	4
Take	1
the	63
Mnh-mnh.	1
spend	1
dads	1
If	4
Boop!	4
You're	7
afraid,	1
Thank	3
just	17
less	1
being	7
money	1
going.	2
older,	1
hell?	1
perfect,	1
kill	2
thanks	1
cabin.	1
21%,	1
style.	1
perfect"	1
Oh,	10
Oh.	1
now	1
family	2
thinking	1
hated	1
Anyway,	1
Friday	1
help	3
Actually,	1
lets	1
other	2
it'll	1
know?	2
kick	1
grow	1
has	7
gang	1
homework	1
gave	1
faster.	1
Yeah.	11
They	1
fact,	1
Did	2
big	1
room,	1
sheds.	1
grade,	1
gonna	9
ma'am,	1
dark	1
sort	1
built	1
fine.	3
know	21
mom	5
sorry,	2
taking	1
And...	1
6:00	1
Or	1
Mexican?	1
valentine	1
career.	1
like	19
annoyed.	1
your...	1
Where?	1
sorry.	1
Uh-oh.	1
Are	4
lose	1
stylish	2
Fear	1
likes	1
Hey.	1
buckles,	1
Hey,	3
because	3
second?	1
who	3
people	1
buns.	1
some	4
back	1
calling	1
There's	2
lobster	1
second.	2
was...	1
home	1
left.	1
thinks	2
pillows	2
Express,	1
time.	1
You've	1
violations?	1
for	13
bottom	1
Look,	2
tuba	1
moon	1
everything	5
does	3
three	1
good,	1
good.	3
He	4
think.	1
be	13
loud.	1
dewlaps	1
forever.	1
night	1
hey,	2
snake	1
stayed.	1
You'll	1
doesn't.	1
chick	1
stylish.	1
by	5
Skipping	1
on	17
about	17
Sorry.	2
anything	1
getting	5
therapist,	1
of	22
am	1
favorite	1
voice.	1
mine.	1
addition	1
important	1
Hi.	1
own	5
kept	1
out,	1
or	2
irked	1
iguanas	1
Dad,	1
bad?	1
right?	9
Then	1
into	3
honey.	1
boy.	1
two	4
down	2
nothing	1
Acting	1
girlfriend.	2
better,	2
been	1
needed.	1
Ooh!	1
boy?	1
Awareness	1
cotton,	1
why?	2
cotton.	1
hope...	1
That's...	1
boobs.	1
her	5
Where'd	1
spending	1
Or,	1
coming.	2
there	2
"girls,"	1
class	1
start	2
nut-brown	1
we're	3
way	2
random,	1
suspended.	1
Clayton	1
Walk?	1
was	24
Great.	2
far	1
obvious.	1
you.	16
head	2
you,	3
makes...	1
what?	2
lie.	2
but	19
you?	1
boys	3
house,	1
