Word	Count
sometimes.	2
Julia,	6
dance	4
caused	1
green	1
all	8
son.	1
code	1
Shoo!	1
texts,	1
tonic	1
go	9
Case.	1
garlands	1
but,	1
up.	2
up,	2
Tuesday,	2
swam	1
felt...	1
promote	1
young	2
send	1
nose	1
to	84
really?	1
dance?	1
booties	1
under	2
Not	3
sorry	5
That's	7
guys...	1
lot.	1
shouldn't	1
case	2
diagnosed...	1
woman	1
Shit.	1
jerk	1
very	4
continues	1
detention	1
Christopher?	1
mess.	1
selfies	1
Dude,	2
George.	1
I'd	3
it,	1
scholarship	1
hectic.	1
I'm	31
little	1
burrito?	1
cool	1
No,	7
entire	1
No.	10
Uh...	3
Don't	1
did	6
turns	1
Uh,	3
No!	4
standards	1
try	3
Does	1
But...	1
Here's	4
gentoo.	22
quick	1
and...	3
guy	1
along,	1
dip	1
George	1
front.	1
swimming,	1
Screw	1
talked	1
says	1
Ugh!	1
hair?	1
her,	1
else,	1
me,	5
me.	7
Should	1
magical.	1
Why,	1
"A"	1
largest	1
me?	3
Dad	2
sex?	1
even	7
that.	6
you!	1
dick.	2
nature,	1
blue.	1
locker	1
Sam's	2
him.	3
that?	2
leave,	1
goes	2
leave.	2
Put	1
pretty.	1
learned	2
cup	1
ever	2
presence.	1
told	3
layers	1
expert.	1
million	1
hero	1
Zahid,	1
Have	3
Zahid.	1
never	1
giant	1
here	2
hundreds	1
water	1
its	1
bozos	1
true.	1
them	2
Us	1
What--	1
rent,	1
sweatpants.	1
My	7
nachos.	1
wait	1
hell	2
great	4
kids	1
here?	5
ahead	1
hotties	1
slow	1
study	1
climbed	1
37	1
ones.	1
Sam...	1
weren't	3
stressed	1
how?	1
weird	2
someone's	1
makes	2
involves	1
beautiful.	1
uniquely	1
guys,	1
teenage	1
long.	1
love	16
Sixth	1
extra	2
It's	16
When	1
Three	1
Ganja	1
bored.	2
win?	1
anywhere.	1
know.	11
know,	6
total	1
landscape	1
Prep.	1
lady,	1
from	2
takes	1
would	8
igloo	2
right?	2
still	1
two	5
Something	1
You?	1
asses	1
call	1
understand...	1
God,	2
right,	2
right.	2
First	1
until	2
Those	1
plain	1
sort	1
ahead.	1
Chocolate-covered	1
messages.	1
series.	1
Mom	2
started	1
Okay,	10
Okay.	9
incident...	1
three.	1
melty	1
warm	2
So	11
sad.	1
broke	1
really,	2
And...	1
knew...	1
Here,	1
must	1
me	18
did.	1
animals,	1
Now	1
animals	1
shit.	1
thanks	1
emperor	1
this	13
us.	1
books.	1
work	1
volcanoes,	1
ice.	1
ice,	1
Actually,	1
Ross	1
mall	1
discovered	1
can	14
us?	3
meet	2
my	34
fleecy	1
something	4
guy.	1
[Calvin	1
tap	1
slip	1
give	1
lock	1
Just...	1
didn't	15
period,	1
effectively	1
caves.	2
sneeze.	1
dropped	1
want	12
sense	1
sharp	1
again	1
dumb.	1
Christmas	1
worse	1
class.	1
Recently,	1
needs	1
counting	1
winter	1
